record_id,mainshock_id,subgroup_type,subgroup,draw,p_boot
us7000e532|mainshock|all,us7000e532,mainshock,all,135,0.6637667080300037
us7000e532|mainshock|all,us7000e532,mainshock,all,136,0.6270262949057733
us7000e532|mainshock|all,us7000e532,mainshock,all,137,0.6439480430408221
us7000e532|mainshock|all,us7000e532,mainshock,all,138,0.7038596127410148
us7000e532|mainshock|all,us7000e532,mainshock,all,139,0.7177026377044241
us7000e532|mainshock|all,us7000e532,mainshock,all,140,0.6700531593017157
us7000e532|mainshock|all,us7000e532,mainshock,all,141,0.5601291429694814
us7000e532|mainshock|all,us7000e532,mainshock,all,142,0.6830377761100551
us7000e532|mainshock|all,us7000e532,mainshock,all,143,0.6593827718664086
us7000e532|mainshock|all,us7000e532,mainshock,all,144,0.5850329720868042
us7000e532|mainshock|all,us7000e532,mainshock,all,145,0.731915934083084
us7000e532|mainshock|all,us7000e532,mainshock,all,146,0.6316223253431443
us7000e532|mainshock|all,us7000e532,mainshock,all,147,0.6205466626920312
us7000e532|mainshock|all,us7000e532,mainshock,all,148,0.6281135310336695
us7000e532|mainshock|all,us7000e532,mainshock,all,149,0.6726245582118627
us7000e532|mainshock|all,us7000e532,mainshock,all,150,0.48997302951778865
us7000e532|mainshock|all,us7000e532,mainshock,all,151,0.6704358545407506
us7000e532|mainshock|all,us7000e532,mainshock,all,152,0.7319924467386633
us7000e532|mainshock|all,us7000e532,mainshock,all,153,0.5984867253236801
us7000e532|mainshock|all,us7000e532,mainshock,all,154,0.6191026521444197
us7000e532|mainshock|all,us7000e532,mainshock,all,155,0.5592429588614998
us7000e532|mainshock|all,us7000e532,mainshock,all,156,0.6756480775054307
us7000e532|mainshock|all,us7000e532,mainshock,all,157,0.6218873980199194
us7000e532|mainshock|all,us7000e532,mainshock,all,158,0.640191013522431
us7000e532|mainshock|all,us7000e532,mainshock,all,159,0.6937619039375972
us7000e532|mainshock|all,us7000e532,mainshock,all,160,0.7214094036626197
us7000e532|mainshock|all,us7000e532,mainshock,all,161,0.7378890290017995
us7000e532|mainshock|all,us7000e532,mainshock,all,162,0.511852743477699
us7000e532|mainshock|all,us7000e532,mainshock,all,163,0.6708291218603825
us7000e532|mainshock|all,us7000e532,mainshock,all,164,0.7503157407660194
us7000e532|mainshock|all,us7000e532,mainshock,all,165,0.7428234824154883
us7000e532|mainshock|all,us7000e532,mainshock,all,166,0.6796142554006943
us7000e532|mainshock|all,us7000e532,mainshock,all,167,0.6552303608857184
us7000e532|mainshock|all,us7000e532,mainshock,all,168,0.6742805318030841
us7000e532|mainshock|all,us7000e532,mainshock,all,169,0.6119372551559683
us7000e532|mainshock|all,us7000e532,mainshock,all,170,0.7375488946401308
us7000e532|mainshock|all,us7000e532,mainshock,all,171,0.6221499736705589
us7000e532|mainshock|all,us7000e532,mainshock,all,172,0.7538773110640629
us7000e532|mainshock|all,us7000e532,mainshock,all,173,0.7383214438173638
us7000e532|mainshock|all,us7000e532,mainshock,all,174,0.6812225139433683
us7000e532|mainshock|all,us7000e532,mainshock,all,175,0.7184917615435317
us7000e532|mainshock|all,us7000e532,mainshock,all,176,0.6986186680715479
us7000e532|mainshock|all,us7000e532,mainshock,all,177,0.6883980635850713
us7000e532|mainshock|all,us7000e532,mainshock,all,178,0.5405460404215019
us7000e532|mainshock|all,us7000e532,mainshock,all,179,0.4595541138889034
us7000e532|mainshock|all,us7000e532,mainshock,all,180,0.5949225456361841
us7000e532|mainshock|all,us7000e532,mainshock,all,181,0.6233632862696613
us7000e532|mainshock|all,us7000e532,mainshock,all,182,0.6668104654246102
us7000e532|mainshock|all,us7000e532,mainshock,all,183,0.7471794212353535
us7000e532|mainshock|all,us7000e532,mainshock,all,184,0.6884673139302006
