record_id,mainshock_id,subgroup_type,subgroup,n_events,p,p_lo,p_hi,mainshock_mag,pop_sum_10km,pop_mean_10km,pop_max_10km,pop_sum_25km,pop_mean_25km,pop_max_25km,pop_sum_50km,pop_mean_50km,pop_max_50km,pop_sum_subgroup,pop_mean_subgroup,pop_max_subgroup,analysis_included
usp000g650|region|West_of_ms,usp000g650,region,West_of_ms,51,0.9480848928447716,0.702863794547008,1.492395081381472,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,6266247.385872764,448.0691731049527,87696.4765625,True
usp000g650|region|East_of_ms,usp000g650,region,East_of_ms,955,1.15144610973351,1.096261954696358,1.2024060739765854,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,97441784.33372273,475.7156319995055,72389.3125,True
usp000g650|region|South_of_ms,usp000g650,region,South_of_ms,81,0.9491765093386524,0.8317696117499422,1.1396524084472324,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,81378489.41833831,548.6017704050096,87696.4765625,True
usp000g650|region|North_of_ms,usp000g650,region,North_of_ms,925,1.1511717919355842,1.1007399580975104,1.2125147713712965,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,22329542.30125717,316.82547001599306,44019.640625,True
usp000g650|ring|0-50km,usp000g650,ring,0-50km,233,1.1741282033984992,1.0673108235759634,1.3150130881163289,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,1265333.485841476,565.133312122142,18878.404296875,True
usp000g650|ring|50-150km,usp000g650,ring,50-150km,365,1.2196866073448658,1.1366942960396231,1.3262341577113002,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,29983993.18890537,916.4092175465438,29706.25390625,True
usp000g650|ring|150-400km,usp000g650,ring,150-400km,408,1.0396145681894255,0.974976729179307,1.1168377492497987,7.9,2322.444851875305,193.5370709896088,775.7954711914062,43365.84055785865,230.6693646694609,6172.4228515625,1262426.3806753985,566.8730941515034,18878.404296875,72458705.04484864,394.09931004111104,87696.4765625,True
usp000gdw4|depth|4.8-10km,usp000gdw4,depth,4.8-10km,109,0.8940540550530778,0.6753723053503153,1.0526616955347503,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,135971984.94119447,451.0807764871962,44019.640625,True
usp000gdw4|depth|>=10km,usp000gdw4,depth,>=10km,32,0.3564819862911696,0.2,0.7031153226849732,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,135971984.94119447,451.0807764871962,44019.640625,True
usp000gdw4|region|West_of_ms,usp000gdw4,region,West_of_ms,126,0.7103750882689944,0.5352797246864699,0.8530267239213917,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,55447686.14260315,521.1885488133245,33919.4140625,True
usp000gdw4|region|South_of_ms,usp000gdw4,region,South_of_ms,128,0.7582220025982522,0.5447654483986163,0.9148774830697916,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,93490436.86433628,480.2114012529729,44019.640625,True
usp000gdw4|ring|0-50km,usp000gdw4,ring,0-50km,25,0.9728667983216228,0.7572766400224211,1.4534696626097128,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,788652.2158613828,250.52484620755487,17068.728515625,True
usp000gdw4|ring|50-150km,usp000gdw4,ring,50-150km,31,0.311857149530159,0.2,0.6545871505304905,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,7487104.599252517,227.9248865795768,33919.4140625,True
usp000gdw4|ring|150-400km,usp000gdw4,ring,150-400km,85,0.7445072289163865,0.5568897525050043,0.9260282782985748,6.0,14720.5840986434,98.13722732428934,1245.64111328125,89825.74625640226,141.45786812031852,6552.20947265625,788652.2158613829,250.52484620755493,17068.728515625,127696228.12608056,481.0756072999091,44019.640625,True
